id,average_rating
223129,3.46
261911,4.03
2149388,4.12
38890934,4.25
240188,3.55
20685373,3.9
8796792,3.24
3412334,3.33
441023,4.51
25322556,4.0
10370260,5.0
182332,3.93
7762834,4.25
126049,4.1
17472970,4.08
48730202,4.17
17406952,3.71
13479773,3.63
765763,3.78
8709528,4.23
1425895,3.69
77197,4.16
16090271,4.35
22596008,3.81
13515046,4.03
22013040,4.74
138677,3.78
32996247,3.59
19094282,4.27
95833,3.96
44553093,4.51
18454480,4.3
7197913,4.11
15984353,3.86
21911024,4.56
18339630,3.97
6656,4.06
31284338,4.5
33670544,4.42
503536,4.01
16114,4.26
13270,3.83
148584,3.64
10869746,3.89
6620129,4.05
29523636,3.9
6676264,3.98
6779,4.23
22840421,4.09
48318,4.17
466460,4.35
6765740,3.95
5628393,3.14
39988,4.32
50027,4.26
15717850,3.31
18570069,3.9
17833728,3.67
678245,3.43
12824229,4.05
1054845,4.1
13583521,3.93
390299,4.12
7807446,3.68
36194389,4.37
1493980,3.82
9655178,4.34
7740311,4.33
32972331,3.95
85443,4.3
7964,3.24
14185,4.01
7500798,3.71
6706843,4.17
18683839,3.09
12860772,3.91
35678887,4.59
22326,3.85
5954823,3.96
2645603,3.87
3463,4.03
153197,4.07
2967943,3.67
764887,4.18
868,4.56
112322,3.88
1711387,3.66
58891,3.74
13642528,3.98
416655,3.69
24883337,3.32
15557,3.97
21086818,4.26
160425,4.28
444330,3.57
20758975,3.93
18667780,3.12
255458,4.24
143126,4.02
921825,3.79
5981445,3.62
85990,4.02
22337223,4.51
129798,3.7
2290538,3.49
1071760,3.19
1280946,3.56
53524,4.41
25590943,4.03
35427101,4.14
16117978,4.31
455411,3.6
34057,3.88
20550167,4.01
17465485,3.8
13645330,4.51
6486159,4.27
1627127,3.84
1919486,4.75
71943,3.85
17260623,4.04
18210684,3.63
1412055,4.12
98049,3.69
907668,4.26
832225,4.31
632319,3.71
6976104,4.37
22718684,4.0
16099844,3.96
24497270,4.27
34685,4.32
586513,4.0
325916,3.49
14915931,4.67
7433963,3.62
9471730,3.86
7941693,4.22
8409257,4.23
257149,4.32
19185094,3.9
673657,4.09
6777616,3.99
1739647,4.02
8675,3.55
2093404,4.16
18049017,4.2
2885773,3.65
7279151,4.5
7690103,5.0
